Date,LYV
2015-09-01,-0.025588994583269464
2015-09-02,0.014589428295497253
2015-09-03,0.01602298221871501
2015-09-04,-0.0012130521573864295
2015-09-08,0.02914976887105203
2015-09-09,-0.016129026206985198
2015-09-10,-0.005197963491623936
2015-09-11,0.006029000439656151
2015-09-14,0.0007989832147989873
2015-09-15,0.01157688320797634
2015-09-16,0.01262824360289283
2015-09-17,0.0031176899525244828
2015-09-18,-0.008158472662781024
2015-09-21,0.0023501552811853177
2015-09-22,-0.015240304311174402
2015-09-23,-0.003968268985800716
2015-09-24,-0.01633465502712883
2015-09-25,-0.012555745912738892
2015-09-28,-0.015176330788402304
2015-09-29,-0.017909217037762826
2015-09-30,0.019508099801087253
2015-10-01,0.002079835073061531
2015-10-02,0.021170619578723793
2015-10-05,0.026422748311007993
2015-10-06,0.007128724957456756
