Date,TER
2015-09-02,0.017714328806696544
2015-09-03,0.011229320080309746
2015-09-04,-0.021654600509100952
2015-09-08,0.027809222197691552
2015-09-09,-0.01877420249550632
2015-09-10,0.0067530581281718405
2015-09-11,0.0
2015-09-14,0.0022360713963081036
2015-09-15,0.058002937106980124
2015-09-16,0.017923402592062265
2015-09-17,-0.023304260529778853
2015-09-18,-0.022799612409818537
2015-09-21,-0.02170367449809163
2015-09-22,-0.027176734355135346
2015-09-23,-0.011972728482877115
2015-09-24,0.0011539880479642939
2015-09-25,-0.0017288698206897601
2015-09-28,-0.020785532898675352
2015-09-29,0.010023370186288627
2015-09-30,0.0513722298413426
2015-10-01,-0.011660394970317456
2015-10-02,0.023595471527320333
2015-10-05,0.02634475042818285
2015-10-06,0.008021595618077804
2015-10-07,0.0090185883239704
