Date,TTD
2017-05-24,-0.037023177335006374
2017-05-25,0.009514521450403324
2017-05-26,0.004808635494533586
2017-05-30,0.02392802460713428
2017-05-31,0.028229580021369882
2017-06-01,-0.0007273067127574473
2017-06-02,0.03639015518638078
2017-06-05,-0.022296406191583018
2017-06-06,0.002693543535559728
2017-06-07,-0.02614611489162244
2017-06-08,0.019492449917851262
2017-06-09,-0.07359307024205075
2017-06-12,-0.025506237922980568
2017-06-13,0.001997952410795145
2017-06-14,-0.018145579766966846
2017-06-15,-0.011982131969628051
2017-06-16,0.02631043482454154
2017-06-19,0.04285995331904635
2017-06-20,-0.022661716668788134
2017-06-21,0.028689310668155832
2017-06-22,-0.009551134567268194
2017-06-23,0.04551592355633516
2017-06-26,-0.020844847075658257
2017-06-27,-0.04841747649479422
