Date,FANG
2015-09-03,-0.006968234792941619
2015-09-04,-0.014630940973824447
2015-09-08,0.019848506691124035
2015-09-09,-0.033576030117151046
2015-09-10,0.028132051380317824
2015-09-11,-0.008522710329383232
2015-09-14,-0.00889754443472135
2015-09-15,0.014911816023035707
2015-09-16,0.04782589417116134
2015-09-17,-0.0011447110479824163
2015-09-18,-0.011602793907285913
2015-09-21,0.006086985027340841
2015-09-22,-0.0034571729717435273
2015-09-23,-0.038884224707598
2015-09-24,0.002707176475803985
2015-09-25,-0.009899270808146454
2015-09-28,-0.05120433185116191
2015-09-29,0.00590757765549732
2015-09-30,0.02539665626623866
2015-10-01,0.014860795439143315
2015-10-02,0.05796217862021824
2015-10-05,0.04108988213155573
2015-10-06,0.005124098351754869
2015-10-07,0.0147424163705705
