Date,ENPH
2015-09-03,0.009049764968910745
2015-09-04,0.00672639746964121
2015-09-08,0.024498917399055964
2015-09-09,-0.03478257624548575
2015-09-10,-0.009009000301245074
2015-09-11,0.020454471318191336
2015-09-14,-0.015590133272275541
2015-09-15,0.013574647453366007
2015-09-16,0.033482164001966463
2015-09-17,0.0
2015-09-18,0.006479423807706386
2015-09-21,-0.057939911967262336
2015-09-22,-0.05011384894819382
2015-09-23,-0.033573108854717204
2015-09-24,-0.014888381656182004
2015-09-25,-0.017632224871117375
2015-09-28,-0.07179492383626973
2015-09-29,-0.01933699874468009
2015-09-30,0.04225354855837682
2015-10-01,-0.01351350045186761
2015-10-02,0.1150685110466183
2015-10-05,0.1400490591604926
2015-10-06,0.028017266849488465
2015-10-07,0.058700253863305685
2015-10-08,0.033663285749707894
