Date,APTV
2015-09-02,0.010412425446886031
2015-09-03,0.006595205649916558
2015-09-04,-0.01706250048264968
2015-09-08,0.049159843044199514
2015-09-09,0.001588348985192889
2015-09-10,-0.005682605498190774
2015-09-11,0.015417365456009469
2015-09-14,-0.0009162756498035662
2015-09-15,0.011266940358881872
2015-09-16,0.031740001947833774
2015-09-17,-0.005399511213929564
2015-09-18,-0.019694506295737657
2015-09-21,-0.005408721564294172
2015-09-22,-0.03612607925861733
2015-09-23,-0.004567460828368453
2015-09-24,-0.016464046466501903
2015-09-25,0.0052140073111095475
2015-09-28,-0.039448545094270204
2015-09-29,0.0365211234566547
2015-09-30,0.0425007072671304
2015-10-01,0.01841164403288964
2015-10-02,0.00697303295017937
2015-10-05,0.008335284899928519
2015-10-06,-0.0072492655918965365
