Date,GLW
2015-09-03,0.01589162244522102
2015-09-04,-0.0011588469526840894
2015-09-08,0.03190241613886924
2015-09-09,-0.012928559413951657
2015-09-10,0.002847304130141337
2015-09-11,0.0034073040343072236
2015-09-14,-0.0028293677040358567
2015-09-15,0.023268691181276724
2015-09-16,0.015529683513755721
2015-09-17,-0.0076460662916181255
2015-09-18,-0.030269409140115444
2015-09-21,-0.005675708703350768
2015-09-22,-0.030821985607508484
2015-09-23,-0.012367482628636295
2015-09-24,-0.00536655310161005
2015-09-25,-0.0065948746247881385
2015-09-28,-0.013276936320853472
2015-09-29,0.021406989653532937
2015-09-30,0.025149748652143034
2015-10-01,-0.016939489654249962
2015-10-02,0.013071750586489905
2015-10-05,0.034604098301786346
2015-10-06,0.00963740962373727
