Date,BK
2015-09-03,0.006663577709323132
2015-09-04,-0.020112115133574582
2015-09-08,0.021564294911981863
2015-09-09,-0.008647174982074568
2015-09-10,0.008979274268037019
2015-09-11,0.00584757059253338
2015-09-14,0.0
2015-09-15,0.012639289734786452
2015-09-16,0.004243475010964781
2015-09-17,-0.010439755775026427
2015-09-18,-0.023863278370542917
2015-09-21,0.01466795541168664
2015-09-22,-0.01471009788912181
2015-09-23,-0.0007720266720636637
2015-09-24,-0.007727500252624919
2015-09-25,0.02803698885681638
2015-09-28,-0.03535363899403221
2015-09-29,0.006282594261476149
2015-09-30,0.018470790818287508
2015-10-01,0.005363716256862494
2015-10-02,-0.0048271474427774574
2015-10-05,0.02501884279435762
2015-10-06,-0.004732045776596694
2015-10-07,0.01476525353195357
