Date,VST
2017-06-13,0.021874842950513784
2017-06-14,0.026911679808210076
2017-06-15,-0.011316564127836992
2017-06-16,0.006024168630091253
2017-06-19,0.0
2017-06-20,0.0011976723440447756
2017-06-21,-0.0011962396409099796
2017-06-22,-0.0029940476670129446
2017-06-23,0.006005944224219961
2017-06-26,-0.002984977705956071
2017-06-27,0.0
2017-06-28,0.009580712786863899
2017-06-29,-0.009489793798077906
2017-06-30,0.00538945895165166
2017-07-03,0.013102581222941057
2017-07-05,-0.015873195416451602
2017-07-06,-0.016128819015300055
2017-07-07,-0.00182139411840887
2017-07-10,-0.001216613731837457
2017-07-11,0.0012180956837730683
2017-07-12,-0.010340675522339193
2017-07-13,-0.023970349077530595
2017-07-14,0.008815987627824207
2017-07-17,-0.003745252308847924
2017-07-18,0.004386073106421584
