Date,ABNB
2021-08-13,0.010651674994139881
2021-08-16,-0.02742856332342747
2021-08-17,-0.031433083378283655
2021-08-18,0.0197360091531531
2021-08-19,-0.02787250540801034
2021-08-20,0.007360694684079405
2021-08-23,0.021503106496262303
2021-08-24,0.09966622761740118
2021-08-25,-0.00662862146925447
2021-08-26,-0.04752111060761288
2021-08-27,0.009493858369700403
2021-08-30,0.011934178778623794
2021-08-31,-0.0066017097236977795
2021-09-01,0.010323187225108832
2021-09-02,0.003895527330081139
2021-09-03,0.005089078036186079
2021-09-07,0.044303797468354444
2021-09-08,-0.006484892874053072
2021-09-09,0.012627386181324196
2021-09-10,-0.004819295492516917
2021-09-13,-0.029539889310968626
2021-09-14,0.018587796852532312
2021-09-15,0.018799706111803705
2021-09-16,0.010699037275580192
