Date,CNP
2015-09-02,-0.006726160175674067
2015-09-03,0.012415098156473015
2015-09-04,-0.018394540223337086
2015-09-08,0.021010424644093417
2015-09-09,-0.012791761632417242
2015-09-10,-0.0011267857528669545
2015-09-11,-0.002256263869766628
2015-09-14,0.006783571410828415
2015-09-15,0.003369119228256112
2015-09-16,0.015108936457936872
2015-09-17,0.007717997591397019
2015-09-18,-0.012582190745539679
2015-09-21,0.007756184745287165
2015-09-22,-0.02034078983431209
2015-09-23,-0.003928183635953153
2015-09-24,0.003943675116009349
2015-09-25,0.003927959462944219
2015-09-28,-0.019563624708943128
2015-09-29,-0.000570289900402754
2015-09-30,0.02909317740971029
2015-10-01,-0.014966998185675262
2015-10-02,0.014631354388106255
2015-10-05,0.02884065598314245
2015-10-06,-0.003234071999790422
2015-10-07,0.004326398948211629
