Date,REG
2015-09-02,0.014046272536419213
2015-09-03,0.006925340206158648
2015-09-04,-0.025163456552512398
2015-09-08,0.014455272880879333
2015-09-09,-0.014927819906942252
2015-09-10,0.002927643385597589
2015-09-11,0.019917468648727787
2015-09-14,-0.0010101226331503677
2015-09-15,0.013144778996601936
2015-09-16,0.013306389503861205
2015-09-17,0.007222773029741392
2015-09-18,0.0071707984781008705
2015-09-21,0.010194079609774365
2015-09-22,-0.014416189999844176
2015-09-23,0.008938846554997104
2015-09-24,-0.015141868859703145
2015-09-25,0.001308349810909215
2015-09-28,-0.008493658428394113
2015-09-29,0.01795710943346185
2015-09-30,0.005826220668253113
2015-10-01,0.003861618645432996
2015-10-02,0.0052892006872797825
2015-10-05,0.015306098613465435
2015-10-06,-0.005182142003539947
