Date,DAY
2018-12-28,-0.03439451603116206
2018-12-31,0.015307637299899701
2019-01-02,-0.021165651534002627
2019-01-03,-0.015699016754951223
2019-01-04,0.034908211356961205
2019-01-07,0.04419890912301683
2019-01-08,0.0011139213505240164
2019-01-09,-0.009179466593916885
2019-01-10,0.015721543797962756
2019-01-11,-0.006357090666011533
2019-01-14,-0.009735807549110631
2019-01-15,0.029213510115270402
2019-01-16,0.0062772801874366735
2019-01-17,0.014103620092974278
2019-01-18,0.022465904420967853
2019-01-22,-0.01647923294948539
2019-01-23,0.0002660142722439307
2019-01-24,0.03403346871907731
2019-01-25,0.013113966166999225
2019-01-28,0.005583690291518284
2019-01-29,-0.008833883986791968
2019-01-30,0.034122743492939644
2019-01-31,0.014774648241895116
2019-02-01,0.0038825491620162467
