Date,ICE
2015-09-02,0.008863360317437952
2015-09-03,0.010595504457908467
2015-09-04,-0.009261198520965408
2015-09-08,0.034040153399303774
2015-09-09,-0.014156749021729254
2015-09-10,0.0170851613383467
2015-09-11,0.00463575884246592
2015-09-14,-0.008196184350106606
2015-09-15,-0.00021397080413243508
2015-09-16,-0.0002570419834314608
2015-09-17,-0.013879300810427209
2015-09-18,-0.008427631707379368
2015-09-21,0.014851912018859936
2015-09-22,-0.022404697355368652
2015-09-23,0.012408261769101703
2015-09-24,-0.011253053915712186
2015-09-25,0.03665796796548659
2015-09-28,-0.029872391284361477
2015-09-29,-0.0008330112798635714
2015-09-30,0.03160769202169189
2015-10-01,-0.006170438256220656
2015-10-02,-0.008820543999384256
2015-10-05,0.02367371007811303
