Date,OMC
2015-09-02,0.01979457255460404
2015-09-03,0.005717510371846313
2015-09-04,-0.011968686165112818
2015-09-08,0.030435941195336547
2015-09-09,-0.014547947787517224
2015-09-10,0.005070042603589675
2015-09-11,0.0038575428488218932
2015-09-14,-0.007537781290881118
2015-09-15,0.015785654135598515
2015-09-16,0.021551265637235195
2015-09-17,-0.008898091671414643
2015-09-18,-0.017502742945286753
2015-09-21,0.004305118528454388
2015-09-22,-0.012860382965343753
2015-09-23,0.0005990735164411731
2015-09-24,-0.0065849127978445665
2015-09-25,-0.009641500213797505
2015-09-28,-0.014450968267203268
2015-09-29,0.0009261700043938781
2015-09-30,0.01619175345182633
2015-10-01,0.000151547385542683
2015-10-02,0.03170995832636736
2015-10-05,0.011029132488440618
2015-10-06,-0.0010182415114593502
