Date,BDX
2015-09-01,-0.043468455893722835
2015-09-02,0.013566373920155028
2015-09-03,-0.0013896048665693606
2015-09-04,-0.011844587499671988
2015-09-08,0.027546283285251993
2015-09-09,-0.015360223451887478
2015-09-10,-0.005150727730512061
2015-09-11,0.00576921188637991
2015-09-14,0.002059078771451839
2015-09-15,0.0067519548193315515
2015-09-16,0.012319604521313865
2015-09-17,0.006696718018337933
2015-09-18,-0.01051523134923682
2015-09-21,0.0056389344089182725
2015-09-22,-0.006109983071068026
2015-09-23,0.007377353819705057
2015-09-24,-0.003159187778223327
2015-09-25,-0.01937470436932387
2015-09-28,-0.042232887705908606
2015-09-29,0.0037573041763261372
2015-09-30,0.013522938925780714
2015-10-01,-0.003542984961255935
2015-10-02,0.02405662807139941
2015-10-05,0.01196696979974754
