Date,SWK
2015-09-01,-0.031126593206605824
2015-09-02,0.013086271345791323
2015-09-03,0.0020184247609891237
2015-09-04,-0.015107007809086026
2015-09-08,0.025462303915609663
2015-09-09,-0.011866677479334786
2015-09-10,-0.0036332625040238486
2015-09-11,0.011648116137928044
2015-09-14,-0.00871026413818432
2015-09-15,0.02262393323486922
2015-09-16,0.004444522824328834
2015-09-17,-0.007374697134167829
2015-09-18,-0.0063397599946628524
2015-09-21,0.003987751546632223
2015-09-22,-0.01578762967976477
2015-09-23,-0.0047425942551568845
2015-09-24,-0.003952943602185788
2015-09-25,0.0009159139807246586
2015-09-28,-0.017183474681339184
2015-09-29,-0.018208067241401782
2015-09-30,0.021917917761510974
2015-10-01,-0.0037122103381725946
2015-10-02,0.008693596255437086
2015-10-05,0.023907180408656137
